Rainfall,WindSpeed9am,Humidity9am,Pressure9am,Temp9am,rain_today_b,rain_tomorrow_b
0,6,20,1006.3,26.6,FALSE,FALSE
0,19,30,1012.9,20.3,FALSE,FALSE
0,30,42,1012.3,28.7,FALSE,FALSE
0,6,37,1012.7,29.1,FALSE,FALSE
0,17,19,1010.7,33.6,FALSE,FALSE
0,7,26,1007.7,30.7,FALSE,FALSE
0,17,33,1011.3,25,FALSE,FALSE
0,15,25,1013.3,20.7,FALSE,FALSE
0,30,46,1008.3,23.4,FALSE,FALSE
0,15,61,1007.9,24,FALSE,FALSE
0,11,27,1012.6,29.8,FALSE,FALSE
0,24,40,1013.6,29.1,FALSE,FALSE
0,17,25,1012.9,31.5,FALSE,FALSE
0,13,24,1012.4,31.4,FALSE,FALSE
0,17,19,1014.1,25,FALSE,FALSE
0,17,25,1016.3,19.9,FALSE,FALSE
0,22,46,1016.4,21.6,FALSE,FALSE
0,26,34,1013.1,26.2,FALSE,TRUE
4.8,19,54,1011.1,27,TRUE,FALSE
0,9,46,1012,28.9,FALSE,FALSE
0,24,71,1008.6,24.4,FALSE,TRUE
18,13,89,1008.6,24.7,TRUE,TRUE
8.6,11,46,1008.6,28.1,TRUE,FALSE
0,13,19,1013.1,26.4,FALSE,FALSE
0,17,50,1014.6,28.7,FALSE,FALSE
0,24,45,1015.2,29,FALSE,FALSE
0,15,37,1014.4,29.6,FALSE,FALSE
0,19,31,1014.6,29.9,FALSE,FALSE
0,20,34,1013.8,29.9,FALSE,FALSE
0,24,35,1015.2,29,FALSE,FALSE
0,9,34,1012.9,30.1,FALSE,FALSE
0,17,32,1010.4,32,FALSE,FALSE
0.6,9,42,1008.4,29.9,FALSE,TRUE
1.6,17,50,1007,28.2,TRUE,FALSE
0,15,33,1005.9,32.6,FALSE,FALSE
0,9,25,1007.5,35.6,FALSE,FALSE
0,20,22,1010.4,32.1,FALSE,FALSE
0,15,23,1009.9,31.6,FALSE,FALSE
0,19,24,1008.6,26.1,FALSE,FALSE
0,19,26,1010.2,19.6,FALSE,FALSE
0,22,38,1011.9,14.8,FALSE,FALSE
0,9,44,1013.2,17.4,FALSE,FALSE
0.6,35,66,1013.8,18.5,FALSE,TRUE
26,28,81,1014.3,17.1,TRUE,TRUE
7,13,66,1012.1,18.9,TRUE,FALSE
0,19,65,1011.2,19.2,FALSE,TRUE
32.6,15,94,1011.9,16.6,TRUE,TRUE
1.6,19,69,1009,20.1,TRUE,FALSE
0,6,66,1008.7,22.1,FALSE,FALSE
0,9,45,1011,25.9,FALSE,FALSE
0,13,39,1012.5,23,FALSE,FALSE
0,15,52,1013.3,22.3,FALSE,FALSE
0,22,53,1012.8,25.9,FALSE,TRUE
2,15,60,1013.5,25.6,TRUE,FALSE
0.8,11,69,1014.9,23.6,FALSE,FALSE
0,13,25,1014.7,24,FALSE,FALSE
0,26,55,1014.5,22.5,FALSE,FALSE
0,17,41,1010.9,25.8,FALSE,FALSE
0,2,33,1011.4,20.4,FALSE,FALSE
0,7,31,1013.4,23.1,FALSE,FALSE
0,19,28,1012.8,25,FALSE,FALSE
0,22,46,1016,18.6,FALSE,FALSE
0,20,50,1016.9,15.1,FALSE,FALSE
0,11,52,1014.8,16.7,FALSE,FALSE
0,11,42,1014.6,18.7,FALSE,FALSE
0,15,29,1014.2,22.6,FALSE,FALSE
0,24,52,1015.8,22.5,FALSE,FALSE
0,30,49,1014.9,24.2,FALSE,FALSE
0,26,54,1016.9,21.8,FALSE,FALSE
0,28,54,1016.2,23.9,FALSE,TRUE
9.2,13,86,1016.1,20,TRUE,TRUE
0,17,47,1014.5,17.1,FALSE,FALSE
0,9,43,1015.1,16,FALSE,FALSE
0,11,58,1015.6,15.9,FALSE,FALSE
0,11,41,1015.8,20.2,FALSE,FALSE
0,4,39,1014.7,21.3,FALSE,FALSE
0,7,29,1014.5,23.8,FALSE,FALSE
0,13,40,1014.7,22.8,FALSE,FALSE
0,13,46,1014.4,21.9,FALSE,FALSE
0,9,35,1014.5,24.8,FALSE,FALSE
0,15,30,1014.9,25.1,FALSE,FALSE
0,19,29,1017.3,25.7,FALSE,FALSE
0,13,31,1019.2,25.2,FALSE,FALSE
0.2,13,46,1021.3,22.5,FALSE,FALSE
0,20,52,1021.2,20.6,FALSE,FALSE
0,13,40,1020.3,20.6,FALSE,FALSE
0,17,43,1019.5,20.4,FALSE,FALSE
0,15,55,1016.3,20.4,FALSE,FALSE
0,19,67,1017.9,21.9,FALSE,FALSE
0,19,60,1018,23.6,FALSE,FALSE
0.2,17,51,1020.2,16.3,FALSE,FALSE
0,11,40,1019.8,16.9,FALSE,FALSE
0,17,53,1021.2,16.4,FALSE,FALSE
0,13,44,1023.6,13.8,FALSE,FALSE
0,24,57,1023,19.9,FALSE,FALSE
0,15,45,1021.2,20.1,FALSE,TRUE
14.4,7,97,1021.3,16.9,TRUE,TRUE
2.4,4,94,1023.1,17.6,TRUE,TRUE
5.4,4,89,1022.9,18.5,TRUE,FALSE
0,6,92,1020.6,18.9,FALSE,FALSE
0,15,56,1014.6,22,FALSE,FALSE
0,13,52,1015.1,17.3,FALSE,FALSE
0,11,38,1017.7,17.2,FALSE,FALSE
0,7,50,1020.9,17.9,FALSE,FALSE
0,7,46,1020.3,18.9,FALSE,FALSE
0,13,52,1019.6,18,FALSE,FALSE
0,19,52,1021,17.2,FALSE,FALSE
0,15,58,1021.8,17.9,FALSE,FALSE
0,20,57,1018.5,17.5,FALSE,FALSE
0,6,51,1009.2,18.5,FALSE,FALSE
0.6,13,64,1010.3,17.1,FALSE,FALSE
1,22,54,1011.1,13.1,FALSE,FALSE
0,9,58,1017.7,12.6,FALSE,FALSE
1,17,78,1020.7,14.7,FALSE,FALSE
0,4,57,1021.6,11.4,FALSE,FALSE
0,7,49,1024.9,14,FALSE,FALSE
0,7,39,1025.6,15.2,FALSE,FALSE
0,9,54,1026,14.8,FALSE,FALSE
0,11,55,1028.3,15.6,FALSE,FALSE
0,7,41,1029.7,16.4,FALSE,FALSE
0,9,45,1027.4,16.2,FALSE,FALSE
0,9,45,1025.5,14.8,FALSE,FALSE
0,9,65,1027.7,12.6,FALSE,FALSE
0,4,55,1025.1,12.9,FALSE,FALSE
0,6,45,1022.2,15.2,FALSE,FALSE
0,17,52,1022.6,15.1,FALSE,FALSE
0,13,42,1021.5,16.3,FALSE,FALSE
0,2,45,1019.1,15.6,FALSE,FALSE
0,6,51,1019.4,13.4,FALSE,FALSE
0,9,50,1019.6,15.3,FALSE,FALSE
0,17,56,1018.1,15.5,FALSE,FALSE
0,7,64,1022.3,12.3,FALSE,FALSE
7.6,20,96,1018.7,13.9,TRUE,TRUE
17.6,20,96,1016.1,13.1,TRUE,TRUE
7.8,22,64,1018.2,15.4,TRUE,FALSE
0.2,11,64,1018.5,14.8,FALSE,FALSE
0,24,68,1017.5,16.8,FALSE,FALSE
0,24,66,1021.2,16.9,FALSE,FALSE
0,24,67,1022.6,15.4,FALSE,FALSE
1,13,87,1020.8,13.9,FALSE,TRUE
3.6,7,96,1021.5,12.7,TRUE,FALSE
0,6,74,1023.1,10.7,FALSE,FALSE
0,6,82,1023.7,7.8,FALSE,FALSE
0,17,74,1025.6,11.7,FALSE,FALSE
0,19,76,1027.7,11.6,FALSE,TRUE
10,24,95,1026.5,11.4,TRUE,TRUE
12,15,97,1023.8,12.6,TRUE,TRUE
0.2,6,97,1020.4,12.2,FALSE,FALSE
0,7,86,1018.4,10.9,FALSE,FALSE
0,17,72,1014.4,11.5,FALSE,TRUE
3.4,13,79,1011.3,10.2,TRUE,FALSE
0,17,78,1014.9,11.5,FALSE,FALSE
